Key,Language-En,Language-De,Language-Fr,Language-EsLA,Language-Es,Language-PtBR,Language-Pt,Language-It,Language-Uk,Language-Pl,Language-Cz,Language-Tr,Language-Nl,Language-Dk,Language-No,Language-Se,Language-Fi,Language-Ro,Language-Hu,Language-Bg,Language-Vn,Language-In,Language-Ph,Language-Th,Language-Ko,Language-Ja,Language-Zhtw,Language-Zhcn,Comment
Setngs_Language,Язык,Sprache,Langue,Idioma,Idioma,Idioma,Idioma,Lingua,Мова,Język,Jazyk,Dil,Taal,Sprog,Språk,Språk,Kieli,Limbă,Nyelv,Език,Ngôn ngữ,Bahasa,Wika,ภาษา,언어,言語,語言,语言,
Setngs_Resolution,Разрешение,Auflösung,Résolution,Resolución,Resolución,Resolução,Resolução,Risoluzione,Роздільна здатність,Rozdzielczość,Rozlišení,Çözünürlük,Resolutie,Opløsning,Oppløsning,Upplösning,Resoluutio,Rezoluție,Felbontás,Резолюция,Độ phân giải,Resolusi,Resolusyon,ความละเอียด,해상도,解像度,解析度,分辨率,
Setngs_Back,НАЗАД,Zurück,Retour,Volver,Volver,Voltar,Voltar,Indietro,НАЗАД,WSTECZ,Zpět,Geri,Terug,Tilbage,Tilbake,Tillbaka,Takaisin,ÎNAPOI,VISSZA,НАЗАД,Quay lại,Kembali,Bumalik,ย้อนกลับ,뒤로,戻る,返回,返回,
Setngs_Controls,УПРАВЛЕНИЕ,Steuerung,Commandes,Controles,Controles,Controles,Controles,Comandi,УПРАВЛІННЯ,STEROWANIE,Ovládání,Kontroller,Besturing,Kontroller,Kontroller,Kontroller,Ohjaimet,Controale,Irányítás,Управление,Điều khiển,Kontrol,Mga Kontrol,การควบคุม,조작,操作方法,操作方式,操作方式,
Setngs_MusicVolume,Громкость музыки,Musiklautstärke,Volume de la musique,Volumen de la música,Volumen de la música,Volume da música,Volume da música,Volume musica,Гучність Музики,Głośność muzyki,Hlasitost hudby,Müzik Sesi,Muziekvolume,Musikvolumen,Musikkvolum,Musikvolym,Musiikin äänenvoimakkuus,Volum Muzică,Zene hangereje,Сила на музиката,Âm lượng nhạc,Volume Musik,Lakás ng Musika,ระดับเสียงเพลง,음악 볼륨,BGM音量,音樂音量,音乐音量,
Setngs_SFXVolume,Громкость звуков,Soundeffektlautstärke,Volume des effets sonores,Volumen de efectos,Volumen de efectos,Volume dos efeitos,Volume dos efeitos,Volume effetti sonori,Гучність Ефектів,Głośność efektów,Hlasitost efektů,Efekt Sesi,SFX-volume,Lydeffekter-volumen,Lydeffektvolum,Ljudeffektvolym,Äänitehosteiden äänenvoimakkuus,Volum Efecte,Hangeffektek hangereje,Сила на ефектите,Âm lượng hiệu ứng,Volume Efek Suara,Lakás ng Tunog,ระดับเสียงเอฟเฟกต์,효과음 볼륨,SFX音量,音效音量,音效音量,
Play_NewGame,НОВАЯ ИГРА,Neues Spiel,Nouvelle partie,Nuevo juego,Nuevo juego,Novo jogo,Novo jogo,Nuova partita,НОВА ГРА,NOWA GRA,Nová hra,Yeni Oyun,Nieuw Spel,Nyt spil,Nytt spill,Nytt spel,Uusi peli,JOC NOU,ÚJ JÁTÉK,НОВА ИГРА,Trò chơi mới,Permainan Baru,Bagong Laro,เริ่มเกมใหม่,새 게임,はじめから,新遊戲,新游戏,
Play_LoadGame,Загрузить игру,Spiel laden,Charger la partie,Cargar partida,Cargar partida,Carregar jogo,Carregar jogo,Carica partita,Завантажити гру,Wczytaj grę,Načíst hru,Oyunu Yükle,Spel Laden,Indlæs spil,Last inn spill,Ladda spel,Lataa peli,ÎNCARCĂ JOC,BETÖLTÉS,ЗАРЕДИ ИГРА,Tải trò chơi,Muat Permainan,I-load ang Laro,โหลดเกม,불러오기,ロード,載入遊戲,载入游戏,
Play_Chapters,ГЛАВЫ,Kapitel,Chapitres,Capítulos,Capítulos,Capítulos,Capítulos,Capitoli,РОЗДІЛИ,ROZDZIAŁY,Kapitoly,Bölümler,Hoofdstukken,Kapitler,Kapitler,Kapitel,Jaksot,CAPITOLE,FEJEZETEK,ГЛАВИ,Chương,Bab,Mga Kabanata,บท,챕터,チャプター,章節,章节,
Warn_Yes,Да,Ja,Oui,Sí,Sí,Sim,Sim,Sì,Так,Tak,Ano,Evet,Ja,Ja,Ja,Ja,Kyllä,Da,Igen,Да,Có,Ya,Oo,ใช่,예,はい,是,是,
Warn_No,Нет,Nein,Non,No,No,Não,Não,No,Ні,Nie,Ne,Hayır,Nee,Nej,Nei,Nej,Ei,Nu,Nem,Не,Không,Tidak,Hindi,ไม่ใช่,아니요,いいえ,否,否,
Warn_Progress,Ваш прогресс будет потерян. Вы уверены?,Dein Fortschritt geht verloren. Bist du sicher?,Votre progression sera perdue. Êtes-vous sûr·e ?,Tu progreso se perderá. ¿Estás seguro?,Tu progreso se perderá. ¿Estás seguro?,Seu progresso será perdido. Tem certeza?,O teu progresso será perdido. Tens a certeza?,I tuoi progressi andranno persi. Vuoi continuare?,Ваш прогрес буде втрачено. Ви впевнені?,Twój postęp zostanie utracony. Na pewno?,"Váš postup bude ztracen.
Opravdu chcete pokračovat?",İlerlemeniz kaybolacak. Emin misiniz?,"Je voortgang gaat verloren.
Weet je het zeker?","Din fremgang vil gå tabt.
Er du sikker?","Fremgangen din vil gå tapt.
Er du sikker?",Dina framsteg kommer att gå förlorade. Är du säker?,"Edistymisesi menetetään.
Oletko varma?","Progresul tău va fi pierdut.
Ești sigur?","A mentésed elvész.
Biztos vagy benne?","Напредъкът ще бъде загубен.
Сигурен ли си?","Tiến trình của bạn sẽ bị mất.
Bạn có chắc không?","Kemajuanmu akan hilang.
Apakah kamu yakin?","Mawawala ang iyong progreso.
Sigurado ka ba?",ความคืบหน้าของคุณจะหายไปคุณแน่ใจหรือไม่?,"진행 상황이 삭제됩니다.
계속 진행하시겠습니까?","進行状況は失われます。
本当によろしいですか？","進度將會遺失。
確定嗎？","进度将会丢失。
确定吗？",
Char_TeaTukoni,Чайный Тукони,Tee-Tukoni,Tukoni du Thé,Tukoni de Té,Tukoni de Té,Tukoni do Chá,Tukoni do Chá,Tukoni del Tè,Чайний Туконі,Herbaciany Tukoni,Čaj Tukoni,Çay Tukoni,Thee Tukoni,Tukoni-te,Tukoni-te,Tukoni-te,Tukoni-tee,Tukoni Ceai,Tea Tukoni,Чай Тукони,Trà Tukoni,Teh Tukoni,Tsaa ng Tukoni,ชาทูโคนี,차 투코니,おちゃ・トゥコニ,茶圖科尼,茶图科尼,
Tea_Calendula,Календула,Ringelblume,Calendula,Caléndula,Caléndula,Calêndula,Calêndula,Calendula,Календула,Nagietek,Měsíček,Aynısefa,Goudsbloem,Morgenfrue,Ringblomst,Ringblomma,Kehäkukka,Gălbenele,Körömvirág,Невен,Cúc vạn thọ,Calendula,Calendula,ดาวเรือง,금잔화,キンセンカ,金盞花,金盏花,
Tea_Linden,Липа,Linde,Tilleul,Tilo,Tilo,Tília,Tília,Tiglio,Липа,Lipa,Lípa,Ihlamur,Linde,Lind,Lind,Lind,Lehmus,Tei,Hársfa,Липа,Cây đoan,Daun linden,Linden,ต้นเหลืองอินเดีย,보리수꽃,リンデンフラワー,椴樹花,椴树花,
Tea_Chamomile,Ромашка,Kamille,Camomille,Manzanilla,Manzanilla,Camomila,Camomila,Camomilla,Ромашка,Rumianek,Heřmánek,Papatya,Kamille,Kamille,Kamille,Kamomill,Kamomilla,Mușețel,Kamilla,Лайка,Cúc La Mã,Chamomile,Manzanilla,คาโมมายล์,캐모마일,カモミール,洋甘菊,洋甘菊,
Tea_Blueberry,Черника,Heidelbeere,Myrtille,Arándano,Arándano,Mirtilo,Mirtilo,Mirtillo,Чорниця,Borówka,Borůvka,Yaban mersini,Bosbes,Blåbær,Blåbær,Blåbär,Mustikka,Afine,Áfonya,Боровинка,Việt quất,Blueberry,Blueberry,บลูเบอร์รี,블루베리,ブルーベリー,藍莓,蓝莓,
Tea_Rosehip,Шиповник,Hagebutte,Églantier,Rosa mosqueta,Escaramujo,Rosa mosqueta,Rosa mosqueta,Cinorrodo,Шипшина,Dzika róża,Šípek,Kuşburnu,Rozenbottel,Hyben,Nype,Nypon,Ruusunmarja,Măceșe,Csipkebogyó,Шипка,Hồng hoa,Rosehip,Rosehip,โรสฮิป,로즈힙,ローズヒップ,玫瑰果,玫瑰果,
Tea_Mint,Мята,Minze,Menthe,Menta,Menta,Hortelã,Hortelã,Menta,М'ята,Mięta,Máta,Nane,Munt,Mynte,Mynte,Mynta,Minttu,Mentă,Menta,Мента,Bạc hà,Mint,Yerba buena,สะระแหน่,민트,ミント,薄荷,薄荷,
Tea_LemonBalm,Мелисса,Zitronenmelisse,Mélisse,Melisa,Melisa,Erva-cidreira,Erva-cidreira,Melissa,Меліса,Melisa,Meduňka,Melisa,Citroenmelisse,Citronmelisse,Sitronmelisse,Citronmeliss,Sitruunamelissa,Roiniță,Citromfű,Маточина,Tía tô chanh,Lemon balm,Lemon balm,เลมอนบาล์ม,레몬밤,レモンバーム,香蜂草,香蜂草,
Tea_Thyme,Чабрец,Thymian,Thym,Tomillo,Tomillo,Tomilho,Tomilho,Timo,Чебрець,Tymianek,Tymián,Kekik,Tijm,Timian,Timian,Timjan,Timjami,Cimbru,Kakukkfű,Мащерка,Húng tây,Thyme,Tomillo,ไธม์,백리향,タイム,百里香,百里香,
Tea_LicoriceRoot,Корень солодки,Süßholzwurzel,Racine de réglisse,Raíz de regaliz,Raíz de regaliz,Raiz de alcaçuz,Raiz de alcaçuz,Radice di liquirizia,Корінь солодки,Korzeń lukrecji,Kořen lékořice,Meyan kökü,Zoethoutwortel,Lakridsrod,Lakrisrot,Lakritsrot,Lakritsijuuri,Rădăcină de lemn-dulce,Édesgyökér,Женско биле (корен),Rễ cam thảo,Akar licorice,Ugat ng Licorice,รากชะเอม,감초 뿌리,カンゾウ根,甘草根,甘草根,
Tea_DriedApples,Сушёные яблоки,Getrocknete Äpfel,Pommes séchées,Manzanas secas,Manzanas secas,Maçãs secas,Maçãs secas,Mele essiccate,Сушені яблука,Suszone jabłka,Sušená jablka,Kurutulmuş elmalar,Gedroogde appels,Tørrede æbler,Tørkede epler,Torkade äpplen,Kuivatut omenat,Mere uscate,Aszalt alma,Сушени ябълки,Táo sấy,Apel kering,Pinatuyong Mansanas,แอปเปิ้ลอบแห้ง,말린 사과,ドライアップル,干蘋果片,干苹果片,
Tea_PineNeedles,Сосновые иголки,Kiefernnadeln,Aiguilles de pin,Agujas de pino,Agujas de pino,Agulhas de pinheiro,Agulhas de pinheiro,Aghi di pino,Соснові голки,Igły sosnowe,Jehličí,Çam iğneleri,Dennenaalden,Gran nåle,Grannåler,Tallbarr,Männynneulaset,Ace de pin,Fenyőtű,Борови иглички,Lá thông,Jarum pinus,Dahon ng Pino,ใบสน,솔잎,松葉,松針,松针,
Tea_SeaBuckthorn,Облепиха,Sanddorn,Argousier,Espino amarillo,Espino cerval de mar,Espinheiro-marítimo,Espinheiro-marítimo,Olivello spinoso,Обліпиха,Rokitnik,Rakytník,Yalancı iğde,Duindoorn,Havtorn,Tindved,Havtorn,Tyrni,Cătină,Homoktövis,Облепиха,Hắc mai biển,Sea buckthorn,Sea buckthorn,ซีบัคธอร์น,비타민나무 열매,サジー,沙棘,沙棘,
Controls_XBOX,Контроллер Xbox,Xbox-Controller,Manette Xbox,Control de Xbox,Control de Xbox,Controle Xbox,Controle Xbox,Controller Xbox,Xbox Контролер,Kontroler do Xbox-a,Ovladač Xbox,Xbox Kumandası,Xbox-controller,Xbox-controller,Xbox-kontroller,Xbox-kontroll,Xbox-ohjain,Controler Xbox,Xbox Kontroller,Контролер Xbox,Tay cầm Xbox,Kontroler Xbox,Xbox Controller,คอนโทรลเลอร์ Xbox,Xbox 컨트롤러,Xbox コントローラー,Xbox 控制器,Xbox 控制器,
Controls_PlayStation,Контроллер PS,PS-Controller,Manette PS,Control de PS,Control de PS,Controle PS,Controle PS,Controller PS,PS Контролер,Kontroler do PS-a,Ovladač PlayStation,PS Kumandası,PS-controller,PS-controller,PS-kontroller,PS-kontroll,PS-ohjain,Controler PS,PS Kontroller,Контролер PS,Tay cầm PS,Kontroler PS,PS Controller,คอนโทรลเลอร์ PS,PS 컨트롤러,PS コントローラー,PS 控制器,PS 控制器,
Controls_KeyboardMouse,Клавиатура,Tastatur,Clavier,Teclado,Teclado,Teclado,Teclado,Tastiera,Клавіатура,Klawiatura,Klávesnice,Klavye,Toetsenbord,Tastatur,Tastatur,Tangentbord,Näppäimistö,Tastatură,Billentyűzet,Клавиатура,Bàn phím,Keyboard,Keyboard,คีย์บอร์ด,키보드,キーボード,鍵盤,键盘,
Controls_Movement,Передвижение,Bewegung,Déplacement,Movimiento,Movimiento,Movimento,Movimento,Movimento,Пересування,Ruch,Pohyb,Hareket,Beweging,Bevægelse,Bevegelse,Rörelse,Liikkuminen,Deplasare,Mozgás,Движение,Di chuyển,Gerakan,Galaw,การเคลื่อนไหว,이동,移動,移動,移动,
Controls_MenuButton,Меню,Menü-Taste,Touche Menu,Botón Menú,Botón Menú,botão Menu,botão Menu,Tasto Menu,Меню,Przycisk menu,Tlačítko menu,Menü düğmesi,Menuknop,Menuknap,Menyknapp,Menyknapp,Valikkopainike,Meniu,Menü gomb,Меню бутон,Nút menu,Tombol Menu,Pindutan ng Menu,ปุ่มเมนู,메뉴 버튼,メニューボタン,菜單按鈕,菜单按钮,
Controls_Notebook,Блокнот,Notizbuch,Carnet,Cuaderno,Cuaderno,Caderno,Caderno,Taccuino,Нотатник,Notatnik,Zápisník,Not Defteri,Notitieboek,Notesbog,Notatbok,Anteckningsbok,Muistikirja,Jurnal,Jegyzetfüzet,Тефтер,Sổ tay,Buku Catatan,Talaan,สมุดบันทึก,손수첩,ノート,筆記本,笔记本,
Controls_Inventory,Инвентарь,Inventar,Inventaire,Inventario,Inventario,Inventário,Inventário,Inventario,Інвентар,Ekwipunek,Inventář,Envanter,Inventaris,Inventar,Inventar,Förråd,Varasto,Inventar,Leltár,Инвентар,Túi đồ,Inventaris,Imbentaryo,คลังไอเทม,인벤토리,持ち物,物品欄,物品栏,
Controls_ReturnItem,Убрать предмет,Gegenstand zurücklegen,Replacer l’objet,Devolver objeto,Devolver objeto,Devolver item,Devolver objeto,Rimetti l'oggetto,Прибрати предмет,Usuń przedmiot,Vrátit předmět,Eşyayı Geri Koy,Voorwerp Teruggeven,Returnér genstand,Returner gjenstand,Återlämna objekt,Palauta esine,Înapoi,Visszaadás,Връщане на предмет,Trả lại vật phẩm,Kembalikan Item,Ibalik ang Bagay,คืนไอเทม,아이템 되돌리기,しまう,放回物品,放回物品,
Controls_BackClose,Назад / Закрыть головоломку,Zurück / Puzzle schließen,Retour / Fermer l’énigme,Atrás / Cerrar rompecabezas,Atrás / Cerrar rompecabezas,Voltar / Fechar quebra-cabeça,Voltar / Fechar puzzle,Indietro / Chiudi l'enigma,Назад / Закрити головоломку,Wstecz / Zamknij zagadkę,Zpět / Zavřít hádanku,Geri / Bulmacayı Kapat,Terug / Puzzel Sluiten,Tilbage / Luk puslespil,Tilbake / Lukk puslespill,Tillbaka / Stäng pussel,Takaisin / Sulje pulma,Înapoi / Închide Puzzle,Vissza / Rejtvény bezárása,Назад / Затвори пъзел,Quay lại / Đóng câu đố,Kembali / Tutup Puzzle,Bumalik / Isara ang Puzzle,ย้อนกลับ / ปิดปริศนา,뒤로 / 퍼즐 닫기,戻る / パズルを閉じる,返回 / 關閉謎題,返回 / 关闭谜题,
Controls_Interaction,Взаимодействие,Interaktion,Interaction,Interacción,Interacción,Interação,Interação,Interazione,Взаємодія,Interakcja,Interakce,Etkileşim,Interactie,Interaktion,Interaksjon,Interaktion,Vuorovaikutus,Interacțiune,Interakció,Интеракция,Tương tác,Interaksi,Pakikipag-ugnayan,ปฏิสัมพันธ์,상호작용,調べる,互動,互动,
Controls_PrevPage,Предыдущая страница,Vorherige Seite,Page précédente,Página anterior,Página anterior,Página anterior,Página anterior,Pagina precedente,Попередня сторінка,Poprzednia strona,Předchozí stránka,Önceki Sayfa,Vorige pagina,Forrige side,Forrige side,Föregående sida,Edellinen sivu,Pagina Anterioară,Előző oldal,Предишна страница,Trang trước,Halaman Sebelumnya,Nakaraang Pahina,หน้าก่อนหน้า,이전 페이지,前のページ,上一頁,上一页,
Controls_NextPage,Следующая страница,Nächste Seite,Page suivante,Siguiente página,Página siguiente,Próxima página,Próxima página,Pagina successiva,Наступна сторінка,Następna strona,Další stránka,Sonraki Sayfa,Volgende pagina,Næste side,Neste side,Nästa sida,Seuraava sivu,Pagina Următoare,Következő oldal,Следваща страница,Trang sau,Halaman Berikutnya,Susunod na Pahina,หน้าถัดไป,다음 페이지,次のページ,下一頁,下一页,
